job_id,client_id,pay_amount,pay_verified,response_time_hours,complaints_count,complaints_payment_related,info_complete,profile_complete,past_jobs,past_paid_jobs,account_age_days,risk_label
J1123,C712,405.79,1,5.88,0,0,1,1,8,8,607,safe
J1124,C570,680.53,1,14.64,0,0,1,1,0,0,27,caution
J1125,C101,322.19,0,21.82,1,1,1,0,3,0,267,high_risk
J1126,C698,390.92,0,18.04,0,0,1,1,0,0,13,high_risk
J1127,C262,365.36,0,22.66,0,0,0,0,0,0,4,high_risk
J1128,C78,437.51,1,11.0,0,0,0,1,0,0,6,caution
J1129,C328,517.05,1,19.81,0,0,1,1,1,1,612,safe
J1130,C1038,614.34,0,30.67,0,0,1,0,0,0,8,high_risk
J1131,C200,598.72,1,12.83,1,0,1,1,6,6,1771,caution
J1132,C853,244.29,1,21.77,1,0,1,1,12,11,1876,caution
J1133,C112,326.81,0,30.59,0,0,1,0,0,0,18,high_risk
J1134,C693,382.69,1,5.92,0,0,1,1,3,3,1331,safe
J1135,C1057,430.02,0,64.49,1,1,0,0,0,0,10,high_risk
J1136,C468,326.76,1,11.84,0,0,1,0,3,2,291,caution
J1137,C236,350.02,1,35.48,0,0,1,1,15,15,1815,safe
J1138,C399,759.42,1,22.31,3,0,1,1,4,4,826,caution
J1139,C1037,561.64,1,22.59,0,0,1,1,0,0,15,caution
J1140,C1088,278.93,1,13.95,0,0,1,1,2,1,254,caution
J1141,C1125,579.96,0,53.18,0,0,0,0,7,3,1310,high_risk
J1142,C223,417.6,1,17.28,0,0,1,0,1,1,287,caution
J1143,C500,869.44,1,3.31,2,0,1,1,10,10,1901,caution
J1144,C421,373.89,1,11.46,0,0,1,1,5,5,1226,safe
J1145,C340,401.11,0,51.57,0,0,0,0,1,0,13,high_risk
J1146,C304,440.76,0,16.4,0,0,1,1,1,0,28,high_risk
J1147,C960,279.03,0,105.15,1,1,1,1,5,1,737,high_risk
J1148,C55,592.66,0,24.83,0,0,0,0,0,0,55,high_risk
J1149,C1175,509.3,0,51.27,0,0,0,0,0,0,29,high_risk
J1150,C933,567.95,1,24.61,1,0,1,1,11,11,1853,caution
J1151,C177,505.67,0,38.96,0,0,0,0,11,5,1962,high_risk
J1152,C685,536.8,0,28.11,0,0,1,1,0,0,11,high_risk
J1153,C406,824.45,1,15.49,0,0,1,1,10,10,1808,safe
J1154,C268,609.94,0,32.59,0,0,0,0,0,0,14,high_risk
J1155,C924,140.9,0,25.62,0,0,1,0,0,0,85,high_risk
J1156,C491,562.44,0,18.39,0,0,0,0,0,0,3,high_risk
J1157,C8,733.27,0,23.19,3,1,1,0,0,0,65,high_risk
J1158,C447,36.63,1,5.92,0,0,1,1,9,8,1638,safe
J1159,C456,267.37,1,14.84,0,0,1,0,7,7,752,caution
J1160,C382,620.19,1,12.88,0,0,1,1,1,1,25,safe
J1161,C149,694.18,0,36.64,0,0,0,0,5,2,539,high_risk
J1162,C838,534.57,0,14.92,0,0,0,0,0,0,12,high_risk
J1163,C978,587.41,0,20.97,0,0,0,0,0,0,17,high_risk
J1164,C1080,774.06,1,7.01,0,0,1,1,7,7,1154,safe
J1165,C312,397.21,0,26.87,0,0,1,0,2,1,346,caution
J1166,C641,311.61,1,12.85,2,0,0,0,14,14,1803,caution
J1167,C743,449.63,0,52.35,0,0,0,0,17,9,1587,caution
J1168,C224,535.02,0,37.53,0,0,0,0,0,0,25,high_risk
J1169,C690,562.95,1,12.18,2,0,1,1,5,4,1122,caution
J1170,C428,654.45,0,19.43,0,0,0,0,0,0,2,high_risk
J1171,C1115,833.11,1,10.24,0,0,1,1,2,2,773,safe
J1172,C887,536.95,0,16.43,0,0,0,0,0,0,15,high_risk
J1173,C95,249.57,0,29.85,0,0,1,1,2,1,317,caution
J1174,C326,345.68,1,33.07,0,0,1,0,1,1,29,caution
J1175,C578,527.51,0,14.81,0,0,0,0,0,0,12,high_risk
J1176,C54,790.8,1,12.51,2,0,1,1,11,11,1487,caution
J1177,C1074,630.84,1,13.98,0,0,0,0,4,4,1247,caution
J1178,C1099,322.02,1,25.09,0,0,1,1,4,4,666,safe
J1179,C636,369.82,1,8.17,1,0,1,0,6,6,895,caution
J1180,C390,441.45,0,17.19,2,0,0,0,0,0,105,high_risk
J1181,C1153,514.83,0,31.77,0,0,0,0,6,3,761,caution
J1182,C156,445.54,1,9.09,1,0,0,1,6,5,1258,caution
J1183,C291,325.12,1,12.66,0,0,0,1,1,1,22,caution
J1184,C726,349.53,1,9.28,1,1,1,1,13,11,1847,caution
J1185,C577,1009.44,1,16.67,1,0,1,1,15,15,1647,caution
J1186,C226,541.91,1,29.42,2,0,1,0,0,0,72,caution
J1187,C964,305.53,0,34.83,0,0,0,0,0,0,10,high_risk
J1188,C600,564.27,1,10.36,0,0,1,1,2,2,460,safe
J1189,C537,3732.59,0,54.52,0,0,0,0,0,0,29,high_risk
J1190,C305,541.34,1,16.84,2,0,0,0,13,13,1894,caution
J1191,C302,554.61,1,18.09,0,0,0,1,1,1,16,caution
J1192,C1087,225.71,0,72.25,0,0,0,0,0,0,0,high_risk
J1193,C134,1995.76,0,14.3,4,1,1,0,2,1,619,high_risk
J1194,C430,384.14,1,14.04,0,0,1,1,0,0,27,caution
J1195,C1018,714.12,0,20.32,0,0,0,0,1,0,19,high_risk
J1196,C1052,860.31,0,16.09,0,0,1,1,10,4,1042,high_risk
J1197,C172,364.59,1,6.92,0,0,0,0,7,7,826,caution
J1198,C614,370.72,0,29.17,0,0,0,0,0,0,29,high_risk
J1199,C162,606.61,0,45.7,0,0,0,0,0,0,25,high_risk
J1200,C1136,245.94,1,3.07,2,0,1,0,0,0,100,caution
J1201,C465,2192.27,1,10.02,0,0,1,1,13,13,1996,safe
J1202,C929,442.15,0,25.69,4,1,0,0,3,1,231,high_risk
J1203,C1116,483.94,0,31.02,1,0,0,0,0,0,8,high_risk
J1204,C1003,95.95,0,13.39,0,0,0,0,0,0,20,high_risk
J1205,C695,601.34,0,64.93,0,0,0,0,0,0,0,high_risk
J1206,C237,991.54,0,64.42,0,0,0,0,0,0,26,high_risk
J1207,C437,417.13,1,24.19,1,1,1,1,7,7,1160,caution
J1208,C1072,212.12,0,26.18,0,0,0,0,0,0,22,high_risk
J1209,C1102,659.94,1,13.51,0,0,0,1,6,5,1797,caution
J1210,C416,326.3,0,14.33,0,0,1,1,0,0,62,high_risk
J1211,C341,506.1,1,6.4,0,0,1,1,14,14,1971,safe
J1212,C651,358.07,1,8.37,1,0,1,1,0,0,25,caution
J1213,C32,214.19,1,13.74,3,0,0,1,3,3,1563,caution
J1214,C783,562.14,0,44.77,4,1,0,0,2,1,305,high_risk
J1215,C431,362.06,0,58.66,0,0,1,0,0,0,158,high_risk
J1216,C1081,180.23,0,35.53,0,0,0,0,0,0,17,high_risk
J1217,C757,558.46,0,19.9,0,0,1,1,0,0,15,high_risk
J1218,C353,1074.45,1,11.5,1,0,1,1,9,9,1572,caution
J1219,C1072,703.44,1,21.82,0,0,1,1,9,9,1796,safe
J1220,C892,492.28,0,96.88,4,1,0,0,0,0,10,high_risk
J1221,C749,1106.62,1,24.69,0,0,0,1,7,6,1543,caution
J1222,C680,148.42,0,51.79,0,0,0,0,1,0,147,high_risk
J1223,C703,615.06,1,27.57,1,0,1,1,5,5,1492,caution
J1224,C225,866.48,0,38.25,0,0,1,0,0,0,22,high_risk
J1225,C866,296.34,1,17.62,0,0,0,0,6,6,1345,caution
J1226,C348,560.31,0,69.14,0,0,0,0,0,0,10,high_risk
J1227,C252,373.93,1,16.59,1,1,1,1,1,1,848,caution
J1228,C1096,432.11,1,20.5,0,0,1,1,5,5,574,safe
J1229,C1066,582.05,0,25.41,0,0,1,0,0,0,3,high_risk
J1230,C58,147.06,0,84.7,0,0,0,0,0,0,0,high_risk
J1231,C708,298.74,1,9.03,1,1,1,1,16,16,1623,caution
J1232,C412,1684.8,1,23.74,0,0,1,1,3,3,700,safe
J1233,C638,149.05,1,11.55,0,0,1,1,4,4,608,safe
J1234,C1047,426.36,1,10.8,1,0,1,0,6,5,1032,caution
J1235,C769,195.69,1,3.68,0,0,0,1,7,7,1379,caution
J1236,C577,1011.2,0,23.79,2,1,0,0,3,1,389,high_risk
J1237,C117,684.29,1,5.76,4,0,1,1,13,13,1460,caution
J1238,C241,519.84,0,21.04,0,0,1,0,0,0,12,high_risk
J1239,C758,456.38,0,49.68,0,0,0,0,0,0,15,high_risk
J1240,C550,411.88,1,4.9,1,0,1,1,9,9,1110,caution
J1241,C144,562.88,1,25.49,0,0,1,1,6,6,660,safe
J1242,C120,404.39,1,91.13,0,0,0,0,1,1,16,high_risk
J1243,C602,349.27,1,9.12,0,0,0,1,13,12,1491,caution
J1244,C826,709.25,0,45.73,0,0,1,1,9,5,926,caution
J1245,C988,376.81,0,11.73,0,0,0,0,2,0,239,high_risk
J1246,C1006,768.2,1,15.49,2,0,1,1,10,9,1364,caution
J1247,C177,389.05,0,33.55,6,1,1,0,1,0,301,high_risk
J1248,C33,650.08,1,77.1,2,0,0,1,8,6,1974,high_risk
J1249,C484,2503.9,1,11.9,0,0,0,0,3,3,852,caution
J1250,C176,612.36,0,35.78,0,0,1,0,4,2,703,caution
J1251,C758,557.97,0,24.27,0,0,0,0,1,0,138,high_risk
J1252,C755,642.72,0,21.7,0,0,0,0,2,0,360,high_risk
J1253,C778,3856.6,0,33.69,0,0,0,0,0,0,13,high_risk
J1254,C543,323.88,0,32.68,0,0,0,0,0,0,3,high_risk
J1255,C197,797.76,1,8.33,0,0,1,1,6,6,1806,safe
J1256,C594,440.45,0,31.84,0,0,0,0,14,8,1913,caution
J1257,C400,137.68,0,21.38,0,0,0,0,0,0,27,high_risk
J1258,C981,636.78,0,28.8,0,0,1,0,0,0,15,high_risk
J1259,C22,665.89,1,47.13,0,0,0,0,12,12,1681,caution
J1260,C782,2905.16,0,34.14,3,0,0,0,0,0,5,high_risk
J1261,C956,432.16,0,46.15,0,0,1,0,9,3,1032,high_risk
J1262,C768,312.25,1,15.71,1,1,0,1,0,0,27,caution
J1263,C977,394.14,0,58.03,0,0,1,0,0,0,5,high_risk
J1264,C1021,533.22,1,10.97,0,0,1,1,7,7,1879,safe
J1265,C641,445.01,1,4.26,1,0,1,0,0,0,6,caution
J1266,C256,291.14,0,35.93,0,0,0,0,1,0,9,high_risk
J1267,C1174,448.1,0,20.07,0,0,0,0,0,0,14,high_risk
J1268,C48,333.68,1,16.78,0,0,0,0,0,0,10,caution
J1269,C134,365.64,1,30.36,2,0,1,0,0,0,26,caution
J1270,C721,645.59,0,108.84,0,0,0,0,0,0,29,high_risk
J1271,C767,262.29,0,15.72,0,0,0,0,0,0,15,high_risk
J1272,C118,565.77,1,17.4,1,0,1,0,0,0,15,caution
J1273,C242,391.8,1,12.31,1,0,1,1,5,5,1008,caution
J1274,C357,554.03,1,12.55,0,0,0,1,8,8,1579,caution
J1275,C420,314.83,1,12.59,1,1,1,1,10,10,1899,caution
J1276,C1197,455.73,0,51.32,0,0,0,0,0,0,25,high_risk
J1277,C55,327.82,1,9.37,2,1,1,1,9,9,1158,high_risk
J1278,C910,558.0,1,10.81,0,0,1,1,3,3,990,safe
J1279,C167,134.18,0,34.35,3,1,1,0,1,0,764,high_risk
J1280,C87,480.32,0,24.06,0,0,0,0,0,0,21,high_risk
J1281,C439,234.89,0,25.67,0,0,1,0,1,0,18,high_risk
J1282,C37,367.8,0,35.17,0,0,1,0,0,0,1,high_risk
J1283,C686,431.16,0,25.67,0,0,1,0,0,0,16,high_risk
J1284,C247,641.15,1,6.78,1,0,1,1,0,0,136,caution
J1285,C584,160.17,1,6.32,0,0,0,1,4,4,674,caution
J1286,C344,123.31,0,35.65,0,0,0,0,0,0,22,high_risk
J1287,C1172,721.89,1,33.86,0,0,1,0,6,5,1418,caution
J1288,C1053,428.48,1,15.42,0,0,1,1,7,6,1478,safe
J1289,C960,148.83,1,9.29,0,0,0,1,0,0,9,caution
J1290,C1131,413.25,0,68.65,0,0,1,0,0,0,195,high_risk
J1291,C65,2005.48,1,14.87,0,0,0,0,0,0,25,caution
J1292,C199,381.64,0,70.26,4,1,1,0,3,2,954,high_risk
J1293,C34,542.38,0,35.01,0,0,1,0,0,0,26,high_risk
J1294,C236,157.52,0,26.04,0,0,1,1,7,3,706,high_risk
J1295,C1089,504.88,1,11.95,0,0,1,0,3,3,788,caution
J1296,C1004,402.43,1,10.18,0,0,1,1,14,14,1956,safe
J1297,C634,483.02,1,27.92,0,0,1,1,2,2,654,safe
J1298,C721,673.67,1,10.94,0,0,1,1,14,14,1943,safe
J1299,C1184,696.74,0,47.74,0,0,1,0,8,4,1409,caution
J1300,C442,812.04,1,12.53,0,0,1,1,7,7,1393,safe
J1301,C48,112.98,0,34.14,0,0,1,0,0,0,19,high_risk
J1302,C504,566.11,1,17.71,2,0,1,1,6,5,1689,caution
J1303,C1103,648.76,0,25.26,3,1,0,0,1,0,468,high_risk
J1304,C635,376.62,1,9.27,0,0,1,0,4,3,859,caution
J1305,C804,488.19,0,17.2,0,0,1,0,6,3,1070,caution
J1306,C688,759.59,1,17.24,0,0,1,1,10,9,1954,safe
J1307,C575,452.03,0,5.9,0,0,0,1,2,0,109,high_risk
J1308,C446,752.71,0,45.87,0,0,0,0,0,0,3,high_risk
J1309,C323,482.55,1,6.94,3,0,0,1,0,0,1,caution
J1310,C634,584.36,1,13.53,0,0,1,1,3,3,437,safe
J1311,C613,678.01,1,27.2,0,0,1,1,6,6,1530,safe
J1312,C858,274.67,0,21.53,0,0,0,0,0,0,12,high_risk
J1313,C839,578.69,0,37.13,0,0,0,0,8,4,1592,caution
J1314,C721,396.81,1,23.92,0,0,1,1,18,18,1988,safe
J1315,C270,736.33,0,25.91,4,0,1,0,0,0,17,high_risk
J1316,C499,432.32,0,18.39,1,1,1,0,2,0,364,high_risk
J1317,C996,429.66,1,18.63,0,0,1,0,1,1,310,caution
J1318,C420,327.3,0,77.48,8,1,0,0,0,0,2,high_risk
J1319,C1022,486.11,1,47.92,2,0,1,1,7,6,1115,caution
J1320,C671,3597.85,0,17.39,0,0,0,0,5,2,1563,high_risk
J1321,C769,511.56,0,39.99,2,0,0,0,6,3,862,caution
J1322,C660,940.65,0,27.43,0,0,0,0,0,0,14,high_risk
J1323,C618,409.16,1,6.19,0,0,1,1,12,12,1983,safe
J1324,C414,1225.55,1,10.59,1,0,1,1,14,14,1811,caution
J1325,C1087,473.44,1,10.61,0,0,1,1,10,9,1318,safe
J1326,C550,568.17,1,12.83,0,0,1,1,12,12,1400,safe
J1327,C434,244.76,1,15.66,0,0,1,1,10,10,1872,safe
J1328,C367,761.87,1,14.01,1,1,1,1,9,9,965,caution
J1329,C746,448.67,0,75.87,0,0,1,0,0,0,19,high_risk
J1330,C11,839.2,1,37.6,1,0,1,1,5,5,1223,caution
J1331,C536,766.78,0,36.94,0,0,0,0,0,0,22,high_risk
J1332,C1194,632.2,1,9.07,2,0,1,1,10,10,1605,caution
J1333,C377,495.65,1,10.81,0,0,1,1,11,11,1550,safe
J1334,C66,297.67,1,14.32,1,0,1,1,0,0,8,caution
J1335,C1112,373.82,1,10.43,0,0,1,0,4,4,754,caution
J1336,C1037,284.79,0,14.89,2,0,0,0,0,0,7,high_risk
J1337,C307,276.23,1,6.63,0,0,0,0,7,7,1276,caution
J1338,C947,557.45,0,55.16,6,1,0,0,0,0,26,high_risk
J1339,C765,2839.9,0,42.52,0,0,0,0,4,1,1038,high_risk
J1340,C405,188.74,0,44.49,0,0,0,0,0,0,19,high_risk
J1341,C334,402.37,0,23.45,0,0,1,0,12,7,1984,caution
J1342,C1015,338.0,1,9.0,0,0,1,1,1,1,529,safe
J1343,C725,791.42,1,6.53,0,0,0,0,0,0,372,caution
J1344,C952,80.71,1,8.24,0,0,1,1,18,18,1604,safe
J1345,C912,883.66,1,7.85,0,0,1,1,11,10,1872,safe
J1346,C47,616.08,1,5.21,3,0,1,1,7,7,1229,caution
J1347,C543,25.0,0,41.7,0,0,1,0,0,0,1,high_risk
J1348,C1054,371.76,1,7.82,0,0,1,1,2,2,716,safe
J1349,C522,589.28,0,37.5,0,0,0,0,0,0,5,high_risk
J1350,C365,363.82,0,11.16,0,0,1,0,0,0,133,high_risk
J1351,C592,445.37,0,52.07,0,0,0,0,0,0,1,high_risk
J1352,C1195,955.12,0,35.08,0,0,0,0,0,0,561,high_risk
J1353,C644,415.42,0,19.92,0,0,0,0,5,2,552,high_risk
J1354,C773,283.63,1,27.77,2,0,1,1,6,6,1133,caution
J1355,C614,683.18,1,11.61,0,0,1,1,13,13,1928,safe
J1356,C36,219.49,1,16.14,2,0,0,0,0,0,435,caution
J1357,C193,640.51,1,4.77,0,0,1,1,13,13,1825,safe
J1358,C1179,616.83,0,16.95,0,0,1,0,6,2,1053,high_risk
J1359,C718,865.21,1,8.24,1,0,1,1,10,9,1946,caution
J1360,C176,582.93,0,43.35,0,0,1,0,5,3,782,caution
J1361,C913,453.2,0,65.25,0,0,1,0,1,0,19,high_risk
J1362,C338,494.16,1,11.68,0,0,0,1,0,0,16,caution
J1363,C879,927.63,0,40.54,0,0,1,0,0,0,11,high_risk
J1364,C1111,512.58,1,20.37,0,0,1,1,7,7,1139,safe
J1365,C795,457.25,0,18.1,0,0,1,1,5,2,919,high_risk
J1366,C1035,486.95,0,11.28,4,1,0,0,8,4,1064,high_risk
J1367,C474,595.14,1,18.66,0,0,1,1,15,14,1705,safe
J1368,C1071,424.69,0,47.22,0,0,0,0,1,0,10,high_risk
J1369,C641,293.31,0,32.29,4,1,0,0,2,0,76,high_risk
J1370,C1038,365.73,1,21.67,2,0,1,1,11,10,1398,caution
J1371,C947,323.0,1,30.73,0,0,1,1,0,0,25,caution
J1372,C1131,469.3,1,17.68,0,0,1,1,3,3,1495,safe
J1373,C168,377.25,0,18.13,0,0,0,0,0,0,0,high_risk
J1374,C594,464.12,0,14.77,0,0,1,0,0,0,21,high_risk
J1375,C577,469.7,0,45.16,0,0,0,0,0,0,15,high_risk
J1376,C504,552.67,1,12.67,0,0,1,1,6,6,1337,safe
J1377,C561,307.38,1,13.25,0,0,1,1,3,3,766,safe
J1378,C430,840.58,0,74.78,0,0,0,0,3,2,830,high_risk
J1379,C760,2161.75,0,38.5,0,0,0,1,3,1,756,high_risk
J1380,C537,607.9,0,24.28,0,0,0,0,1,0,118,high_risk
J1381,C867,647.23,0,17.43,0,0,1,0,1,0,92,high_risk
J1382,C80,272.88,0,32.69,0,0,1,1,2,1,193,caution
J1383,C263,383.23,0,35.78,0,0,1,0,5,3,864,caution
J1384,C1033,405.39,1,13.08,0,0,0,0,7,6,1035,caution
J1385,C224,215.8,1,2.36,0,0,1,1,4,4,834,safe
J1386,C879,424.39,1,6.85,0,0,1,1,10,10,1911,safe
J1387,C184,954.41,0,45.08,4,0,0,0,0,0,472,high_risk
J1388,C575,521.34,1,7.57,0,0,1,1,0,0,3,caution
